Mat;Ind;Ipa;Ing;Rata;Jumlah
95;86;87.5;66;83.625;334.5
62.5;74;65;46;61.875;247.5
85;86;65;66;75.5;302
65;78;67.5;48;64.625;258.5
82.5;80;60;52;68.625;274.5
47.5;86;72.5;56;65.5;262
95;78;85;46;76;304
70;74;70;46;65;260
90;80;67.5;48;71.375;285.5
85;70;72.5;38;66.375;265.5
62.5;80;70;62;68.625;274.5
50;84;67.5;58;64.875;259.5
52.5;82;72.5;54;65.25;261
75;84;70;36;66.25;265
80;82;65;44;67.75;271
100;86;85;46;79.25;317
95;90;80;88;88.25;353
75;80;65;58;69.5;278
97.5;86;92.5;64;85;340
87.5;94;90;54;81.375;325.5
95;82;70;42;72.25;289
80;80;70;48;69.5;278
85;82;87.5;58;78.125;312.5
82.5;84;80;66;78.125;312.5
70;90;70;62;73;292
77.5;82;80;46;71.375;285.5
100;88;85;64;84.25;337
82.5;82;72.5;52;72.25;289
52.5;76;55;68;62.875;251.5
75;90;77.5;60;75.625;302.5
60;82;77.5;80;74.875;299.5
87.5;88;70;52;74.375;297.5
70;84;65;58;69.25;277
75;88;75;52;72.5;290
57.5;84;60;46;61.875;247.5
60;88;57.5;56;65.375;261.5
82.5;88;82.5;56;77.25;309
77.5;88;72.5;70;77;308
40;82;65;58;61.25;245
72.5;90;62.5;48;68.25;273
67.5;80;85;50;70.625;282.5
62.5;82;72.5;50;66.75;267
55;72;72.5;78;69.375;277.5
77.5;90;67.5;60;73.75;295
90;78;67.5;66;75.375;301.5
75;78;57.5;38;62.125;248.5
72.5;82;62.5;46;65.75;263
85;86;65;64;75;300
60;90;72.5;54;69.125;276.5
95;84;75;56;77.5;310
57.5;76;57.5;54;61.25;245
67.5;86;57.5;54;66.25;265
57.5;88;60;58;65.875;263.5
55;88;52.5;60;63.875;255.5
90;80;77.5;64;77.875;311.5
62.5;90;67.5;46;66.5;266
55;76;75;76;70.5;282
55;84;55;54;62;248
65;84;50;60;64.75;259
57.5;76;70;54;64.375;257.5
52.5;88;62.5;50;63.25;253
57.5;86;72.5;42;64.5;258
60;82;62.5;50;63.625;254.5
60;88;72.5;60;70.125;280.5
82.5;92;80;72;81.625;326.5
72.5;86;77.5;60;74;296
97.5;84;95;64;85.125;340.5
97.5;80;85;70;83.125;332.5
87.5;82;65;68;75.625;302.5
