Mat;Ind;Ipa;Ing;AVG;SUM;JURUSAN;;
67,5;86;87,5;38;69,75;279;OTOMOTIF;;
75;80;72,5;52;69,875;279,5;OTOMOTIF;;
50;82;72,5;48;63,125;252,5;OTOMOTIF;;
65;80;65;50;65;260;OTOMOTIF;;
47,5;80;62,5;60;62,5;250;OTOMOTIF;;
70;82;72,5;52;69,125;276,5;OTOMOTIF;;
85;74;67,5;60;71,625;286,5;OTOMOTIF;;
77,5;84;62,5;46;67,5;270;OTOMOTIF;;
47,5;78;67,5;72;66,25;265;OTOMOTIF;;
80;74;77,5;54;71,375;285,5;OTOMOTIF;;
95;78;75;44;73;292;OTOMOTIF;;
65;90;70;58;70,75;283;OTOMOTIF;;
85;84;75;74;79,5;318;OTOMOTIF;;
92,5;98;70;68;82,125;328,5;OTOMOTIF;;
97,5;86;90;70;85,875;343,5;OTOMOTIF;;
70;80;67,5;64;70,375;281,5;OTOMOTIF;;
80;84;80;42;71,5;286;OTOMOTIF;;
70;86;67,5;64;71,875;287,5;OTOMOTIF;;
60;80;57,5;62;64,875;259,5;OTOMOTIF;;
77,5;84;60;50;67,875;271,5;OTOMOTIF;;
62,5;88;77,5;44;68;272;OTOMOTIF;;
87,5;80;72,5;64;76;304;OTOMOTIF;;
75;84;70;68;74,25;297;OTOMOTIF;;
80;86;65;42;68,25;273;OTOMOTIF;;
75;90;75;50;72,5;290;OTOMOTIF;;
90;90;92,5;60;83,125;332,5;OTOMOTIF;;
87,5;80;75;58;75,125;300,5;OTOMOTIF;;
62,5;82;57,5;52;63,5;254;OTOMOTIF;;
85;76;72,5;58;72,875;291,5;OTOMOTIF;;
62,5;86;75;60;70,875;283,5;OTOMOTIF;;
77,5;80;77,5;64;74,75;299;OTOMOTIF;;
55;76;62,5;56;62,375;249,5;OTOMOTIF;;
77,5;90;82,5;64;78,5;314;OTOMOTIF;;
52,5;80;57,5;64;63,5;254;OTOMOTIF;;
92,5;82;75;48;74,375;297,5;OTOMOTIF;;
85;80;82,5;38;71,375;285,5;OTOMOTIF;;
95;98;100;44;84,25;337;OTOMOTIF;;
67,5;86;57,5;50;65,25;261;OTOMOTIF;;
67,5;86;75;56;71,125;284,5;OTOMOTIF;;
52,5;72;70;50;61,125;244,5;OTOMOTIF;;
80;86;77,5;44;71,875;287,5;OTOMOTIF;;
60;78;72,5;52;65,625;262,5;OTOMOTIF;;
72,5;70;72,5;38;63,25;253;KOMPUTER & JARINGAN;;
55;70;80;50;63,75;255;KOMPUTER & JARINGAN;;
75;78;65;52;67,5;270;KOMPUTER & JARINGAN;;
82,5;74;57,5;50;66;264;KOMPUTER & JARINGAN;;
82,5;70;60;54;66,625;266,5;KOMPUTER & JARINGAN;;
77,5;84;65;46;68,125;272,5;KOMPUTER & JARINGAN;;
85;86;80;50;75,25;301;KOMPUTER & JARINGAN;;
62,5;86;72,5;70;72,75;291;KOMPUTER & JARINGAN;;
77,5;78;65;54;68,625;274,5;KOMPUTER & JARINGAN;;
85;80;85;56;76,5;306;KOMPUTER & JARINGAN;;
95;86;90;60;82,75;331;KOMPUTER & JARINGAN;;
57,5;80;55;54;61,625;246,5;KOMPUTER & JARINGAN;;
90;82;62,5;74;77,125;308,5;KOMPUTER & JARINGAN;;
62,5;78;70;62;68,125;272,5;KOMPUTER & JARINGAN;;
97,5;84;85;84;87,625;350,5;KOMPUTER & JARINGAN;;
62,5;74;70;38;61,125;244,5;KOMPUTER & JARINGAN;;
85;80;57,5;58;70,125;280,5;KOMPUTER & JARINGAN;;
75;88;62,5;66;72,875;291,5;KOMPUTER & JARINGAN;;
65;84;65;50;66;264;KOMPUTER & JARINGAN;;
60;90;52,5;64;66,625;266,5;KOMPUTER & JARINGAN;;
80;82;80;56;74,5;298;KOMPUTER & JARINGAN;;
90;98;80;74;85,5;342;KOMPUTER & JARINGAN;;
92,5;96;72,5;66;81,75;327;KOMPUTER & JARINGAN;;
85;82;77,5;42;71,625;286,5;KOMPUTER & JARINGAN;;
65;76;60;72;68,25;273;KOMPUTER & JARINGAN;;
62,5;74;62,5;62;65,25;261;KOMPUTER & JARINGAN;;
57,5;88;70;54;67,375;269,5;KOMPUTER & JARINGAN;;
57,5;80;65;50;63,125;252,5;KOMPUTER & JARINGAN;;
60;76;67,5;64;66,875;267,5;KOMPUTER & JARINGAN;;
77,5;74;70;48;67,375;269,5;KOMPUTER & JARINGAN;;
70;82;72,5;70;73,625;294,5;KOMPUTER & JARINGAN;;
87,5;94;70;66;79,375;317,5;KOMPUTER & JARINGAN;;
75;70;70;48;65,75;263;MULTIMEDIA;;
90;86;75;52;75,75;303;MULTIMEDIA;;
90;80;77,5;64;77,875;311,5;MULTIMEDIA;;
77,5;86;77,5;56;74,25;297;MULTIMEDIA;;
72,5;84;82,5;52;72,75;291;MULTIMEDIA;;
92,5;88;80;66;81,625;326,5;MULTIMEDIA;;
60;82;72,5;72;71,625;286,5;MULTIMEDIA;;
85;84;82,5;72;80,875;323,5;MULTIMEDIA;;
